Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
63,2024-10-11,JPM,bull,3.07,52.5,1.6118,390334.14,50.0,1.535,32633.68,55.0,1.6885,426722.97,58.75,1.8036,150309.22,3.07,299464.94,Defector
64,2024-10-08,JPM,bull,0.08,52.5,0.042,414900.85,80.0,0.064,38728.52,15.0,0.012,381525.18,60.0,0.048,164845.45,0.08,299704.52,Signal Follower
65,2024-10-03,JPM,bull,-0.46,64.78,-0.298,390150.62,70.0,-0.322,32880.72,55.0,-0.253,424036.4,65.5,-0.3013,152932.25,-0.46,298325.87,Cooperator
66,2024-09-30,JPM,bull,2.21,67.12,1.4833,421986.05,70.0,1.547,36446.8,55.0,1.2155,410760.15,42.83,0.9466,130807.0,2.21,304918.88,Signal Follower
67,2024-09-25,JPM,bull,-0.7,64.78,-0.4535,391076.82,80.0,-0.56,31187.42,25.0,-0.175,456950.33,65.5,-0.4585,120785.44,-0.7,302784.44,Cooperator
68,2024-09-20,JPM,bull,0.55,53.96,0.2968,399325.9,50.0,0.275,29736.09,55.0,0.3025,474660.9,40.83,0.2246,96277.12,0.55,304449.76,Defector
69,2024-09-17,JPM,bull,0.73,64.78,0.4729,435799.0,70.0,0.511,35512.45,55.0,0.4015,426519.32,63.25,0.4617,102169.23,0.73,306672.24,Defector
70,2024-09-12,JPM,bull,-0.51,62.45,-0.3185,409094.63,50.0,-0.255,41207.85,55.0,-0.2805,456965.43,64.2,-0.3274,92732.09,-0.51,305108.21,Cooperator
71,2024-09-09,JPM,bull,0.75,46.89,0.3517,379461.57,50.0,0.375,40930.33,55.0,0.4125,502209.35,42.5,0.3188,77398.74,0.75,307396.52,Defector
72,2024-09-04,JPM,bull,-0.77,52.55,-0.4046,396990.16,50.0,-0.385,45663.98,55.0,-0.4235,491900.31,59.92,-0.4614,65445.55,-0.77,305029.57,Cooperator
73,2024-08-29,JPM,sideways,0.03,52.5,0.0157,395033.44,50.0,0.015,43547.67,55.0,0.0165,509848.46,40.0,0.012,51570.42,0.03,305121.08,Defector
74,2024-08-26,JPM,sideways,0.07,52.5,0.0368,376806.42,50.0,0.035,38162.66,55.0,0.0385,525845.96,58.75,0.0411,59184.95,0.07,305334.67,Defector
75,2024-08-21,JPM,sideways,0.08,52.55,0.042,360963.09,50.0,0.04,34132.4,55.0,0.044,535842.23,60.93,0.0487,69062.28,0.08,305578.93,Defector
76,2024-08-16,JPM,sideways,1.08,52.55,0.5675,345603.3,50.0,0.54,30704.3,55.0,0.594,542834.74,61.95,0.6691,80857.66,1.08,308879.19,Defector
77,2024-08-13,JPM,sideways,0.1,52.55,0.0526,372813.32,50.0,0.05,32102.5,40.0,0.04,496897.59,62.97,0.063,98186.59,0.1,309188.06,Defector
78,2024-08-08,JPM,sideways,0.79,66.49,0.5253,408440.96,50.0,0.395,27367.9,55.0,0.4345,460227.59,64.0,0.5056,103963.54,0.79,311630.65,Defector
79,2024-08-05,JPM,sideways,0.44,52.55,0.2312,391257.33,70.0,0.308,33691.28,55.0,0.242,458511.85,62.97,0.2771,116539.55,0.44,313001.83,Defector
80,2024-07-31,JPM,sideways,-0.92,52.5,-0.483,409782.93,50.0,-0.46,37076.96,55.0,-0.506,455855.38,62.5,-0.575,97284.72,-0.92,310122.21,Cooperator
81,2024-07-26,JPM,sideways,1.43,50.43,0.7211,399913.45,50.0,0.715,35868.83,55.0,0.7865,486168.01,41.67,0.5958,78049.71,1.43,314556.96,Defector
82,2024-07-23,JPM,sideways,-0.33,52.5,-0.1733,367936.71,50.0,-0.165,34263.36,40.0,-0.132,532859.32,58.75,-0.1939,64940.6,-0.33,313518.92,Cooperator
83,2024-07-18,JPM,sideways,-2.62,52.5,-1.3755,370933.2,50.0,-1.31,36147.08,55.0,-1.441,512243.23,40.0,-1.048,80676.49,-2.62,305304.72,Cooperator
84,2024-07-15,JPM,sideways,1.38,52.55,0.7252,347879.79,25.0,0.345,29687.04,85.0,1.173,550736.05,40.93,0.5649,71697.11,1.38,309517.93,Defector
85,2024-07-10,JPM,sideways,0.81,52.92,0.4286,372199.42,35.0,0.2835,26506.04,40.0,0.324,518939.07,60.88,0.4932,82355.47,0.81,312025.02,Defector
86,2024-07-05,JPM,sideways,-1.06,52.55,-0.557,389527.79,50.0,-0.53,29401.63,55.0,-0.583,511850.97,60.93,-0.6459,69219.62,-1.06,308717.56,Cooperator
87,2024-07-01,JPM,sideways,1.29,64.78,0.8356,386639.33,50.0,0.645,25321.14,70.0,0.903,531810.61,44.5,0.574,56228.92,1.29,312700.01,Defector
88,2024-06-26,JPM,sideways,-0.01,53.96,-0.0054,349770.33,50.0,-0.005,24234.08,40.0,-0.004,579306.59,59.58,-0.006,46689.0,-0.01,312668.74,Cooperator
89,2024-06-21,JPM,sideways,-0.21,52.55,-0.1104,355722.16,50.0,-0.105,25919.87,55.0,-0.1155,559923.5,41.17,-0.0864,58434.46,-0.21,312012.14,Cooperator
90,2024-06-17,JPM,sideways,0.78,52.55,0.4099,351792.79,50.0,0.39,24468.51,55.0,0.429,577913.94,40.93,0.3193,45824.76,0.78,314445.83,Defector
